"id","titleofplace","latitude","longitude"
"1","Gebied van de Koning van Bantam","-6.307109","106.184235" -- wrs ander file, is vrij smal
"2","Het Gebied der Ed: 1e Oost-Indische Compagnie","-6.372624","107.203217"
"3","Het Gebiedt  van de Koning van Bantam","-6.686431","107.277374"
"4","T Eyland Madura","-7.051831","113.425598"
"5","Het Gebied van de Keyser van Mataram","-7.939556","112.881775"
"6","Eyland Baly","-8.379997","115.095520"
"7","Banca","-2.268084","106.026306"
"10","Paragoa","9.860628","118.707275"
"11","Pnayaz","1.164471","97.503662"
"12","P. Mintano","-0.263671","98.448486"
"13","De Goede Fortuyn","-1.428075","99.019775"
"14","Het Eyland Nassauw","-2.943041","100.272217"
"15","Billeton","-2.877208","107.858276"
"16","Lingen","-0.549308","104.463501"

"18","Guzaratte","24.319795","68.708496"
"19","Cambaya","22.674847","73.190918"
"20","Guadel","57.370605","61.457520"
"21","Ormus","28.149503","57.370605"
"22","Celebes","-2.446212","120.640869"